id,service_id,movie_id,link,created_at,updated_at,access_type
65,3,55,https://www.primevideo.com/detail/0PDLYOC8HO9ESJH78JMSSQ1VWR/ref=atv_dp,2024-12-13 11:53:13 UTC,2024-12-17 16:08:56 UTC,buy
66,1,55,https://www.netflix.com/title/60027713/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
67,3,56,https://www.primevideo.com/detail/0FWMNNCBQR69JBCBGYR78X9PFZ/ref=atv_dp,2024-12-13 11:53:13 UTC,2024-12-17 16:08:56 UTC,subscription
68,1,56,https://www.netflix.com/title/70270776/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
69,1,57,https://www.netflix.com/title/81435742/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
70,1,58,https://www.netflix.com/title/81059183/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
71,2,59,https://tv.apple.com/fr/movie/20-ans-decart/umc.cmc.1smu936fvlb00dk34bija92h?playableId=tvs.sbd.9001%3A1523371322,2024-12-13 11:53:13 UTC,2024-12-17 16:08:56 UTC,rent
72,3,59,https://www.primevideo.com/detail/0SQ9NJWVYXV5T1608RZJ9K8FRN/ref=atv_dp,2024-12-13 11:53:13 UTC,2024-12-17 16:08:56 UTC,addon
73,1,59,https://www.netflix.com/title/80057784/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
74,4,60,https://play.max.com/movie/78415642-c904-4883-9007-12d895741b04,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
75,2,60,https://tv.apple.com/fr/movie/2012/umc.cmc.2wq140jo9jd1ut59m0cfukrit,2024-12-13 11:53:13 UTC,2024-12-17 16:08:56 UTC,buy
76,3,60,https://www.primevideo.com/detail/0L9BCT30PG9Z2IMDTS3GU8W7ZT/ref=atv_dp,2024-12-13 11:53:13 UTC,2024-12-17 16:08:56 UTC,rent
77,1,60,https://www.netflix.com/title/70108779/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
78,1,61,https://www.netflix.com/title/81585965/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
79,1,62,https://www.netflix.com/title/81472752/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
80,1,63,https://www.netflix.com/title/80210932/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
81,1,64,https://www.netflix.com/title/81724557/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
82,1,65,https://www.netflix.com/title/81497301/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
83,1,66,https://www.netflix.com/title/80213148/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
84,1,67,https://www.netflix.com/title/81397887/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
85,1,68,https://www.netflix.com/title/81024821/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
86,1,69,https://www.netflix.com/title/81504292/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
87,1,70,https://www.netflix.com/title/60020896/,2024-12-13 11:53:14 UTC,2024-12-13 11:53:14 UTC,subscription
88,1,71,https://www.netflix.com/title/60020868/,2024-12-13 11:53:15 UTC,2024-12-13 11:53:15 UTC,subscription
89,1,72,https://www.netflix.com/title/81374470/,2024-12-13 11:53:15 UTC,2024-12-13 11:53:15 UTC,subscription
90,2,73,https://tv.apple.com/fr/show/3-pourcent/umc.cmc.33gm0glfban0btkoijophv7md,2024-12-13 11:53:15 UTC,2024-12-13 11:53:15 UTC,addon
91,1,73,https://www.netflix.com/title/80074220/,2024-12-13 11:53:15 UTC,2024-12-13 11:53:15 UTC,subscription
92,1,74,https://www.netflix.com/title/81435725/,2024-12-13 11:53:15 UTC,2024-12-13 11:53:15 UTC,subscription
